Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
DVG.V,0.1,2022/01/17,14:34 EST,0.015000001,0.1,0.1,0.1,68000,,,,,,,
MET.V,2.25,2022/01/10,10:19 EST,0.0,2.25,2.25,2.25,250,,,,,,,
VGN.V,0.135,2022/01/17,14:14 EST,0.010000005,0.135,0.135,0.135,1000,,,,,,,
MCS.V,0.99,2022/01/17,14:15 EST,0.13,0.99,0.99,0.99,8500,,,,,,,
CWV.V,0.21,2022/01/13,09:38 EST,0.0,0.21,0.21,0.21,5156,,,,,,,
PPR.TO,0.19,2022/01/17,15:59 EST,0.03999999,0.15,0.195,0.15,1824677,,,,,,,
BNG.TO,0.07,2022/01/17,15:59 EST,0.0050000027,0.065,0.07,0.065,128000,,,,,,,
PMT.TO,0.7,2022/01/17,15:51 EST,0.029999971,0.65,0.74,0.65,100151,,,,,,,
TNZ.V,2.97,2022/01/17,15:47 EST,0.17000008,2.93,2.97,2.84,52300,,,,,,,
MGA.TO,0.315,2022/01/17,15:38 EST,0.0,0.31,0.32,0.305,153814,,,,,,,
FORZ.TO,0.175,2022/01/17,14:18 EST,-0.00500001,0.2,0.2,0.175,16747,,,,,,,
PSD.TO,2.09,2022/01/17,15:59 EST,-0.06000018,2.14,2.15,2.06,18417,,,,,,,
YGR.TO,1.9,2022/01/17,15:59 EST,0.049999952,1.86,1.93,1.86,187753,,,,,,,
CFW.TO,5.72,2022/01/17,15:34 EST,0.4199996,5.42,5.75,5.31,33412,,,,,,,
BNE.TO,7.7,2022/01/17,15:59 EST,1.21,6.51,7.71,6.51,296225,,,,,,,
LXE.V,1.0,2022/01/17,15:47 EST,0.050000012,0.99,1.0,0.92,265375,,,,,,,
TWM.TO,1.38,2022/01/17,15:59 EST,0.01999998,1.38,1.39,1.37,119614,,,,,,,
CR.TO,3.74,2022/01/17,16:00 EST,0.4000001,3.35,3.75,3.35,2065324,,,,,,,
OBE.TO,8.05,2022/01/17,15:59 EST,0.3800001,7.74,8.24,7.73,408690,,,,,,,
EFX.TO,8.61,2022/01/17,16:00 EST,0.18999958,8.5,8.69,8.42,246198,,,,,,,
