Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
TAL,3.46,2022/01/14,16:00 EST,0.18000007,3.34,3.46,3.27,8707945,,,,,,,
ONE,0.1872,2022/01/14,16:00 EST,-0.011399999,0.1989,0.1989,0.1725,5089485,,,,,,,
MNTV,17.77,2022/01/14,16:00 EST,-0.43999863,18.08,18.45,17.405,889993,,,,,,,
SEMR,17.86,2022/01/14,16:00 EST,-0.37999916,18.12,18.43,17.3,207666,,,,,,,
KC,12.41,2022/01/14,16:00 EST,-0.32999992,12.92,12.93,12.15,1249040,,,,,,,
YQ,1.17,2022/01/14,16:00 EST,-0.0200001,1.17,1.26,1.14,218647,,,,,,,
FPI,12.18,2022/01/14,16:00 EST,0.119999886,12.09,12.35,11.98,683901,,,,,,,
RDFN,32.41,2022/01/14,16:00 EST,-0.40000153,32.38,32.75,31.31,1253226,,,,,,,
DADA,11.9,2022/01/14,16:00 EST,0.40999985,11.83,12.4,11.51,801982,,,,,,,
OSH,22.0,2022/01/14,16:00 EST,-1.5599995,23.21,23.69,21.56,2996121,,,,,,,
NABL,10.16,2022/01/14,16:00 EST,-0.14000034,10.2,10.37,10.01,154735,,,,,,,
DOYU,2.45,2022/01/14,16:00 EST,0.0,2.48,2.545,2.42,675930,,,,,,,
OKTA,204.41,2022/01/14,16:00 EST,2.4100037,198.145,205.01,196.0,1682610,,,,,,,
SWI,13.89,2022/01/14,16:00 EST,-0.069999695,13.9,14.075,13.58,342647,,,,,,,
HCAT,32.06,2022/01/14,16:00 EST,-0.84000015,32.2,33.0,31.46,344391,,,,,,,
OM,36.41,2022/01/14,16:00 EST,-2.040001,38.0,39.2,34.68,826657,,,,,,,
HUYA,7.15,2022/01/14,16:00 EST,0.16000032,7.07,7.325,7.03,1238539,,,,,,,
AMWL,4.64,2022/01/14,16:00 EST,-0.03000021,4.65,4.72,4.43,3305484,,,,,,,
ALKT,16.26,2022/01/14,16:00 EST,-0.11000061,16.31,16.96,15.86,314011,,,,,,,
DBX,24.06,2022/01/14,16:00 EST,-0.020000458,23.96,24.324,23.86,3468478,,,,,,,
PD,31.0,2022/01/14,16:00 EST,0.3600006,30.45,31.57,29.98,1049426,,,,,,,
VERX,14.01,2022/01/14,16:00 EST,0.27000046,13.55,14.09,13.32,238180,,,,,,,
SPLK,122.62,2022/01/14,16:00 EST,2.2200012,118.75,123.43,118.98,1616027,,,,,,,
KNBE,20.99,2022/01/14,16:00 EST,0.4300003,20.76,21.5,20.25,1892469,,,,,,,
SVFB,9.85,2022/01/13,16:00 EST,0.020000458,9.82,9.87,9.81,371,,,,,,,
PAQCU,9.95,2022/01/13,10:01 EST,0.0,9.95,9.95,9.95,451,,,,,,,
XP,28.74,2022/01/14,16:00 EST,-0.5699997,29.14,29.56,28.02,2941865,,,,,,,
ZI,51.44,2022/01/14,16:00 EST,-1.2700005,51.91,53.31,50.2895,3352356,,,,,,,
LI,31.13,2022/01/14,16:00 EST,0.3599987,30.96,31.4399,30.03,5944298,,,,,,,
LDHAU,9.8104,2022/01/14,16:00 EST,-0.039600372,9.85,9.88,9.8104,502,,,,,,,
LEGAU,9.88,2022/01/14,09:55 EST,-0.119999886,9.88,9.89,9.88,400,,,,,,,
SVFC,9.96,2022/01/14,16:00 EST,0.020000458,9.98,9.98,9.87,238060,,,,,,,
EDR,32.15,2022/01/14,16:00 EST,-0.05999756,32.11,32.7089,31.746,774652,,,,,,,
DESP,9.94,2022/01/14,16:00 EST,0.21000004,9.59,9.95,9.44,211040,,,,,,,
DCT,27.36,2022/01/14,16:00 EST,-0.26000023,27.5,28.01,26.64,615236,,,,,,,
CZOO,4.67,2022/01/14,16:00 EST,-0.25999975,4.96,5.3799,4.66,1278690,,,,,,,
CD,5.31,2022/01/14,16:00 EST,-0.17000008,5.49,5.56,5.1301,1244842,,,,,,,
DIDI,4.67,2022/01/14,16:00 EST,0.0,4.5,4.7,4.42,24086519,,,,,,,
MEKA,10.15,2022/01/14,16:00 EST,-0.03999996,10.2,10.255,10.11,813321,,,,,,,
SRAD,15.47,2022/01/14,16:00 EST,-0.029999733,15.33,15.91,15.06,305748,,,,,,,
AVLR,109.43,2022/01/14,16:00 EST,0.1800003,108.13,111.64,106.2,1266271,,,,,,,
LMACU,10.64,2022/01/14,16:00 EST,0.03999996,10.56,10.64,10.56,19691,,,,,,,
RERE,6.03,2022/01/14,16:00 EST,0.07000017,5.96,6.1,5.82,403968,,,,,,,
EDU,1.81,2022/01/14,16:02 EST,0.01999998,1.83,1.86,1.75,18512515,,,,,,,
ROOT,2.69,2022/01/14,16:00 EST,0.059999943,2.5765,2.7,2.51,3217123,,,,,,,
NCNO,46.12,2022/01/14,16:00 EST,-1.9300003,47.74,49.005,45.91,944943,,,,,,,
NET,100.29,2022/01/14,16:00 EST,1.3099976,99.25,101.95,95.58,5775142,,,,,,,
AGCB,9.81,2022/01/14,16:00 EST,-0.029999733,9.81,9.825,9.8,88691,,,,,,,
SVFAU,10.09,2022/01/14,15:59 EST,-0.010000229,10.05,10.11,10.05,5635,,,,,,,
JOBY,5.71,2022/01/14,16:00 EST,-0.11000013,5.77,5.97,5.56,4147812,,,,,,,
OLO,17.28,2022/01/14,16:00 EST,-0.25,17.2,17.67,16.69,2030363,,,,,,,
REVHU,9.9,2022/01/14,15:58 EST,0.029999733,9.83,9.9,9.83,3301,,,,,,,
XPEV,49.69,2022/01/14,16:00 EST,2.1699982,47.99,49.72,47.2811,11591669,,,,,,,
AFRM,69.19,2022/01/14,16:00 EST,-2.9399948,71.302,75.44,68.3901,8792415,,,,,,,
TWLO,215.16,2022/01/14,16:00 EST,-2.0,216.74,220.92,210.9,2426844,,,,,,,
CFLT,65.0,2022/01/14,16:00 EST,2.0499992,63.305,66.36,62.355,3750731,,,,,,,
TCVA,9.75,2022/01/14,16:00 EST,-0.010000229,9.76,9.76,9.75,61452,,,,,,,
SMAR,62.7,2022/01/14,16:00 EST,1.3100014,60.0,63.015,59.62,1537734,,,,,,,
DDL,8.63,2022/01/14,16:00 EST,-1.5,10.3,10.3,7.75,490351,,,,,,,
DUOL,92.63,2022/01/14,16:00 EST,0.7999954,90.78,92.77,89.98,202107,,,,,,,
STNE,16.62,2022/01/14,16:00 EST,-0.069999695,16.33,16.96,16.06,3870294,,,,,,,
DH,21.57,2022/01/14,16:00 EST,-1.4200001,22.55,23.21,21.46,280283,,,,,,,
TUYA,5.46,2022/01/14,16:00 EST,0.07000017,5.39,5.53,5.23,1454865,,,,,,,
KPLT,2.63,2022/01/14,16:00 EST,-0.06999993,2.67,2.735,2.525,1785790,,,,,,,
LITTU,9.9,2022/01/11,10:51 EST,0.0,9.93,9.93,9.9,10,,,,,,,
DNA,5.79,2022/01/14,16:00 EST,-0.3499999,6.11,6.42,5.625,13240981,,,,,,,
SQSP,29.55,2022/01/14,16:00 EST,-0.3600006,29.48,30.0,28.44,371070,,,,,,,
FRSH,23.1,2022/01/14,16:00 EST,0.55000114,22.1,23.24,22.01,1357342,,,,,,,
FROG,26.19,2022/01/14,16:00 EST,-0.14999962,25.95,26.7,25.58,681068,,,,,,,
DT,52.5,2022/01/14,16:00 EST,-1.6800003,54.0,54.43,51.31,3396047,,,,,,,
MSP,25.31,2022/01/14,16:00 EST,0.02999878,25.36,25.52,25.17,258654,,,,,,,
V,214.67,2022/01/14,16:00 EST,-0.33000183,214.17,218.245,213.71,8646842,,,,,,,
BZ,29.25,2022/01/14,16:00 EST,-1.0799999,29.88,30.33,28.58,2025281,,,,,,,
MDB,396.89,2022/01/14,16:00 EST,6.060028,387.094,398.94,374.77,1719767,,,,,,,
ALCC,9.825,2022/01/13,15:13 EST,0.0,9.8,9.86,9.8,29,,,,,,,
AVPT,6.23,2022/01/14,16:00 EST,0.03000021,6.15,6.255,6.11,599101,,,,,,,
APP,79.01,2022/01/14,16:00 EST,-0.5400009,78.49,79.8,75.91,1075526,,,,,,,
INTU,550.79,2022/01/14,16:00 EST,-2.130005,551.33,557.34,543.4,1684069,,,,,,,
ONTF,16.64,2022/01/14,16:00 EST,0.0,16.44,16.73,16.29,431205,,,,,,,
AI,27.98,2022/01/14,16:00 EST,-0.26000023,28.0,28.65,27.33,2772448,,,,,,,
GRUB,10.88,2022/01/14,16:00 EST,-0.029999733,11.04,11.21,10.745,2245944,,,,,,,
BMBL,33.25,2022/01/14,16:00 EST,0.65999985,32.19,33.54,32.15,1646226,,,,,,,
API,13.42,2022/01/14,16:00 EST,-0.3000002,13.75,14.2,13.1,606362,,,,,,,
BKSY,3.28,2022/01/14,16:00 EST,0.01999998,3.26,3.31,3.09,777084,,,,,,,
DOCS,46.03,2022/01/14,16:00 EST,-1.4700012,47.78,48.27,44.15,1395604,,,,,,,
TOST,25.2,2022/01/14,16:00 EST,-1.75,26.5,27.45,24.69,3313548,,,,,,,
SPIR,2.77,2022/01/14,16:00 EST,0.26,2.55,2.83,2.55,1016218,,,,,,,
MNDY,215.64,2022/01/14,16:00 EST,-2.850006,216.32,222.53,210.36,428086,,,,,,,
BIGC,31.1,2022/01/14,16:00 EST,-0.34000015,31.15,32.37,30.22,1316589,,,,,,,
BEKE,21.0,2022/01/14,16:00 EST,-0.09000015,20.91,21.1799,20.23,3845212,,,,,,,
PLAN,46.71,2022/01/14,16:00 EST,1.2700005,45.26,47.035,44.98,2249950,,,,,,,
S,42.68,2022/01/14,16:00 EST,0.47000122,41.97,43.208,41.25,3172459,,,,,,,
ZEN,100.41,2022/01/14,16:00 EST,1.2600021,98.59,101.01,97.07,1365203,,,,,,,
YSG,1.73,2022/01/14,16:00 EST,0.0,1.79,1.79,1.68,1894487,,,,,,,
SUMO,11.87,2022/01/14,16:00 EST,0.119999886,11.67,12.02,11.5,772931,,,,,,,
GDRX,26.85,2022/01/14,16:00 EST,-0.3599987,26.65,27.96,26.44,1199885,,,,,,,
BHG,3.0,2022/01/14,16:01 EST,0.00999999,2.97,3.02,2.889,1812280,,,,,,,
CPNG,21.21,2022/01/14,16:00 EST,-1.210001,22.14,22.33,20.71,14484203,,,,,,,
CRM,231.23,2022/01/14,16:00 EST,2.5999908,228.03,233.29,227.6074,5746328,,,,,,,
JAMF,34.41,2022/01/14,16:00 EST,0.099998474,34.15,35.24,33.36,471805,,,,,,,
ABNB,163.99,2022/01/14,16:00 EST,-2.0099945,165.75,167.63,160.25,4116258,,,,,,,
PRM,13.35,2022/01/14,16:00 EST,-0.059999466,13.18,13.47,13.075,175380,,,,,,,
OSCR,7.27,2022/01/14,16:00 EST,-0.07999992,7.3,7.45,7.13,1961013,,,,,,,
DOCN,59.49,2022/01/14,16:00 EST,-5.9299965,60.3,63.06,58.41,7015027,,,,,,,
OZON,22.94,2022/01/14,16:00 EST,-1.3599987,23.65,24.06,22.62,1623477,,,,,,,
MTTR,13.34,2022/01/14,16:00 EST,-0.77999973,13.96,14.35,12.9877,11175729,,,,,,,
DLO,29.25,2022/01/14,16:00 EST,-1.8400002,30.66,31.7,28.9,1577746,,,,,,,
GDS,43.61,2022/01/14,16:00 EST,1.0200005,42.9,44.12,42.11,942629,,,,,,,
PLTK,18.96,2022/01/14,16:00 EST,0.6099987,18.53,19.02,18.35,1164906,,,,,,,
TASK,40.7,2022/01/14,16:00 EST,-1.2999992,41.775,43.78,40.26,2145828,,,,,,,
WEAV,10.81,2022/01/14,16:00 EST,-0.2699995,11.09,11.09,10.4,138539,,,,,,,
FLT,244.0,2022/01/14,16:00 EST,-2.2100067,244.36,246.47,242.825,494299,,,,,,,
EGHT,16.49,2022/01/14,16:00 EST,-0.21999931,16.65,16.81,16.26,786342,,,,,,,
ONEM,12.16,2022/01/14,16:00 EST,-1.0900002,13.01,13.26,11.88,6220739,,,,,,,
SQ,133.29,2022/01/14,16:00 EST,-3.6600037,135.0,138.66,129.3076,18229137,,,,,,,
IS,6.55,2022/01/14,16:00 EST,-0.099999905,6.54,6.82,6.3,3193907,,,,,,,
EMBK,4.52,2022/01/14,16:00 EST,-0.17000008,4.66,4.6514,4.26,1416262,,,,,,,
VTEX,7.58,2022/01/14,16:00 EST,-0.17000008,7.75,8.0,7.42,589681,,,,,,,
PYPL,178.42,2022/01/14,16:00 EST,-2.5899963,179.15,182.0,175.4,14343290,,,,,,,
BLND,7.07,2022/01/14,16:00 EST,0.0,6.99,7.29,6.95,1854939,,,,,,,
MA,372.14,2022/01/14,16:00 EST,2.6200256,364.32,374.78,364.15,3927873,,,,,,,
XM,27.23,2022/01/14,16:00 EST,-0.7200012,27.76,28.7,26.51,1675751,,,,,,,
ASAN,60.18,2022/01/14,16:00 EST,-1.4199982,61.5,64.15,59.3,2990032,,,,,,,
RUN,31.81,2022/01/14,16:00 EST,-0.94999886,32.1,33.21,31.46,5219159,,,,,,,
COUP,138.44,2022/01/14,16:00 EST,-3.0,140.57,143.11,135.28,1239132,,,,,,,
FUTU,45.51,2022/01/14,16:00 EST,1.4599991,44.44,46.55,44.32,3465685,,,,,,,
ADBE,520.6,2022/01/14,16:00 EST,3.6999512,514.49,522.47,511.27,2544952,,,,,,,
DV,25.77,2022/01/14,16:00 EST,-0.84000015,26.24,27.0,25.29,602804,,,,,,,
WRBY,34.27,2022/01/14,16:00 EST,-1.2099991,34.88,35.29,32.95,1862955,,,,,,,
PATH,36.73,2022/01/14,16:00 EST,-0.88000107,37.64,38.54,35.6108,4882050,,,,,,,
